RecordID,FirstName,LastName,FullName,Age,Gender,Country,Province,SouthAfricanID,CaseNumber,CrimeType,FinancialScore,EstimatedFraudAmount_ZAR,RiskLevel,CaseStatus,BankInvolved,PreviousOffenses,Arrested,CrimeDate,CourtDate,InvestigatingOfficer,StationCode
12,Thabo,Dlamini,Thabo Dlamini,50,Male,South Africa,Gauteng,0402121654147,SA-CAS-989254,Cybercrime,683,3965402,Critical,Convicted,Standard Bank,8,Yes,2019-12-29,2016-08-09,Officer Smith,SA-ST-119
13,Mpho,Nkosi,Mpho Nkosi,36,Female,South Africa,Mpumalanga,0504111034039,SA-CAS-975210,Armed Robbery,530,23205,High,Closed,FNB,2,No,2021-09-25,2016-04-07,Officer Moyo,SA-ST-760
14,Thabo,Mabaso,Thabo Mabaso,37,Male,South Africa,Eastern Cape,8204242449018,SA-CAS-295745,Corruption,731,2189125,Low,Open,FNB,3,Yes,2016-04-14,2019-06-17,Officer Mabena,SA-ST-523
15,Sipho,Khumalo,Sipho Khumalo,64,Male,South Africa,Gauteng,7808269205016,SA-CAS-886297,Money Laundering,383,3990323,High,Court Pending,African Bank,7,Yes,2024-12-24,2021-12-18,Officer Smith,SA-ST-151
16,Nomsa,Pillay,Nomsa Pillay,20,Male,South Africa,KwaZulu-Natal,0306227613087,SA-CAS-120176,Armed Robbery,472,1432340,Low,Court Pending,Standard Bank,7,Yes,2016-07-17,2018-03-07,Officer Nkosi,SA-ST-575
17,Mpho,Nkosi,Mpho Nkosi,21,Female,South Africa,Mpumalanga,8510122207019,SA-CAS-881818,Fraud,363,3955685,Critical,Open,Nedbank,6,No,2024-04-20,2018-09-02,Officer Mabena,SA-ST-450
18,Brian,Nkosi,Brian Nkosi,59,Male,South Africa,Eastern Cape,8904025834085,SA-CAS-970131,Armed Robbery,483,100911,Critical,Under Investigation,Standard Bank,6,Yes,2018-05-26,2023-07-30,Officer Nkosi,SA-ST-881
19,Mpho,Dlamini,Mpho Dlamini,24,Female,South Africa,Northern Cape,9604234419122,SA-CAS-480086,Money Laundering,677,4786855,Medium,Open,Standard Bank,9,No,2022-11-25,2020-02-08,Officer Nkosi,SA-ST-421
20,Ayanda,Zulu,Ayanda Zulu,38,Male,South Africa,Free State,7209211091054,SA-CAS-864455,Corruption,800,3369169,Medium,Convicted,Standard Bank,8,No,2023-07-06,2017-04-13,Officer Moyo,SA-ST-374
21,Mpho,Mthembu,Mpho Mthembu,41,Female,South Africa,Limpopo,0109237549022,SA-CAS-312978,Cybercrime,578,3377134,Low,Convicted,Absa,4,Yes,2022-02-02,2015-12-21,Officer Naidoo,SA-ST-752
22,Tendai,Khumalo,Tendai Khumalo,37,Female,South Africa,KwaZulu-Natal,8611183824160,SA-CAS-597821,Armed Robbery,772,769280,Critical,Open,Nedbank,0,Yes,2025-10-21,2017-06-27,Officer Naidoo,SA-ST-539
23,Zanele,Mthembu,Zanele Mthembu,46,Male,South Africa,Free State,9502151258132,SA-CAS-971940,Fraud,679,676703,Low,Under Investigation,Nedbank,7,No,2022-09-15,2024-08-02,Officer Mabena,SA-ST-218
24,Sipho,Mthembu,Sipho Mthembu,35,Female,South Africa,Limpopo,9101053991027,SA-CAS-565934,Identity Theft,646,1472079,Low,Convicted,African Bank,6,No,2016-04-02,2018-03-30,Officer Mabena,SA-ST-288
25,Tendai,Khumalo,Tendai Khumalo,36,Female,South Africa,Western Cape,8806262690086,SA-CAS-115816,Identity Theft,696,2407024,Low,Convicted,Standard Bank,0,No,2023-01-20,2015-11-22,Officer Moyo,SA-ST-308
26,Naledi,Mthembu,Naledi Mthembu,26,Male,South Africa,Northern Cape,7204017068089,SA-CAS-216662,Drug Trafficking,370,4304643,Medium,Court Pending,FNB,10,No,2016-08-08,2018-12-03,Officer Naidoo,SA-ST-308
27,Thabo,Zulu,Thabo Zulu,26,Male,South Africa,Northern Cape,0210279965120,SA-CAS-304408,Identity Theft,824,1604354,Critical,Open,African Bank,5,Yes,2019-08-24,2023-02-26,Officer Mabena,SA-ST-359
28,Tendai,Zulu,Tendai Zulu,40,Male,South Africa,North West,6111176366179,SA-CAS-167862,Cybercrime,683,3166846,Medium,Under Investigation,Capitec,0,Yes,2018-07-16,2016-04-01,Officer Nkosi,SA-ST-144
29,Thabo,Naidoo,Thabo Naidoo,43,Female,South Africa,North West,0501237575091,SA-CAS-368783,Vehicle Theft,652,126463,High,Convicted,FNB,5,No,2025-04-18,2017-06-12,Officer Mabena,SA-ST-876
30,Tendai,Mabaso,Tendai Mabaso,51,Male,South Africa,KwaZulu-Natal,0108165181133,SA-CAS-690433,Drug Trafficking,313,2183901,Medium,Closed,Absa,3,Yes,2025-01-12,2020-04-04,Officer Mabena,SA-ST-386
31,Nomsa,Mabaso,Nomsa Mabaso,23,Female,South Africa,Mpumalanga,6302228556173,SA-CAS-305366,Identity Theft,415,3122446,Critical,Open,Capitec,10,No,2021-10-02,2017-11-20,Officer Moyo,SA-ST-122
32,Ayanda,Pillay,Ayanda Pillay,26,Female,South Africa,Gauteng,6607191149148,SA-CAS-201212,Money Laundering,654,4610390,Medium,Closed,African Bank,5,No,2019-03-12,2017-03-06,Officer Smith,SA-ST-742
33,Naledi,Naidoo,Naledi Naidoo,28,Male,South Africa,Eastern Cape,9107161444175,SA-CAS-350831,Cybercrime,378,852475,Low,Open,Standard Bank,7,Yes,2019-07-20,2024-12-29,Officer Mabena,SA-ST-610
34,Brian,Mabaso,Brian Mabaso,30,Female,South Africa,Gauteng,7706155503178,SA-CAS-248847,Armed Robbery,336,44907,Medium,Convicted,Nedbank,9,No,2022-10-23,2019-12-10,Officer Naidoo,SA-ST-459
35,Naledi,Nkosi,Naledi Nkosi,48,Female,South Africa,Eastern Cape,7907028643070,SA-CAS-829032,Money Laundering,454,2547542,Critical,Under Investigation,Capitec,7,No,2022-05-16,2025-02-16,Officer Nkosi,SA-ST-997
36,Lerato,Mabaso,Lerato Mabaso,23,Male,South Africa,Free State,9510057448167,SA-CAS-523431,Fraud,371,2743378,High,Open,Nedbank,6,No,2023-03-04,2015-01-16,Officer Nkosi,SA-ST-158
37,Sipho,Mabaso,Sipho Mabaso,63,Male,South Africa,Free State,6809115526115,SA-CAS-452571,Cybercrime,750,3410875,Critical,Open,Capitec,7,Yes,2017-10-25,2024-07-01,Officer Nkosi,SA-ST-574
38,Thabo,Ndlovu,Thabo Ndlovu,20,Female,South Africa,Northern Cape,7801084608138,SA-CAS-278074,Vehicle Theft,644,4895893,Medium,Open,Standard Bank,2,Yes,2018-06-20,2021-04-28,Officer Smith,SA-ST-849
39,Brian,Mthembu,Brian Mthembu,25,Female,South Africa,Limpopo,7505083437067,SA-CAS-108381,Armed Robbery,700,334005,Medium,Open,Standard Bank,6,Yes,2015-02-06,2016-10-25,Officer Mabena,SA-ST-344
40,Naledi,Pillay,Naledi Pillay,48,Female,South Africa,Northern Cape,9702081529174,SA-CAS-589007,Drug Trafficking,350,3843700,Medium,Court Pending,Absa,1,No,2020-07-12,2016-10-16,Officer Naidoo,SA-ST-764
41,Ayanda,Dlamini,Ayanda Dlamini,22,Male,South Africa,Eastern Cape,0110036083182,SA-CAS-884757,Identity Theft,313,3613743,Medium,Court Pending,Nedbank,0,Yes,2018-10-06,2019-05-07,Officer Moyo,SA-ST-547
42,Zanele,Dlamini,Zanele Dlamini,28,Male,South Africa,Free State,9104217811035,SA-CAS-205154,Drug Trafficking,376,2966746,High,Under Investigation,FNB,3,No,2018-05-01,2015-12-27,Officer Moyo,SA-ST-620
43,Brian,Zulu,Brian Zulu,43,Male,South Africa,North West,6503177931155,SA-CAS-517040,Identity Theft,622,176220,Low,Open,Nedbank,2,No,2023-02-03,2023-07-10,Officer Smith,SA-ST-611
44,Naledi,Mabaso,Naledi Mabaso,49,Female,South Africa,Eastern Cape,9602274080139,SA-CAS-547070,Cybercrime,785,432512,Critical,Under Investigation,Capitec,9,Yes,2021-12-09,2023-08-28,Officer Naidoo,SA-ST-165
45,Thabo,Naidoo,Thabo Naidoo,24,Female,South Africa,Gauteng,7810113286089,SA-CAS-277257,Drug Trafficking,659,1377760,Low,Convicted,Standard Bank,5,No,2022-11-08,2023-08-18,Officer Moyo,SA-ST-158
46,Naledi,Mabaso,Naledi Mabaso,40,Male,South Africa,Mpumalanga,7604065698130,SA-CAS-982006,Money Laundering,824,3718370,Medium,Closed,Nedbank,8,Yes,2024-02-16,2020-02-24,Officer Mabena,SA-ST-172
47,Nomsa,Nkosi,Nomsa Nkosi,19,Male,South Africa,Limpopo,9409036952147,SA-CAS-725162,Cybercrime,703,1485337,High,Closed,Capitec,7,No,2019-05-19,2021-12-25,Officer Mabena,SA-ST-621
48,Thabo,Mabaso,Thabo Mabaso,50,Female,South Africa,Gauteng,8705126789082,SA-CAS-102433,Fraud,594,3505471,Low,Open,Capitec,5,No,2023-01-06,2019-05-05,Officer Nkosi,SA-ST-467
49,Thabo,Dlamini,Thabo Dlamini,63,Female,South Africa,Western Cape,8708265622158,SA-CAS-638806,Corruption,506,2833845,Medium,Under Investigation,Nedbank,10,No,2018-10-13,2020-11-19,Officer Moyo,SA-ST-315
50,Mpho,Zulu,Mpho Zulu,53,Male,South Africa,KwaZulu-Natal,8603288943088,SA-CAS-331104,Armed Robbery,844,2682473,High,Under Investigation,Nedbank,6,Yes,2015-09-09,2015-03-16,Officer Naidoo,SA-ST-694
51,Tendai,Zulu,Tendai Zulu,46,Male,South Africa,Western Cape,9702137858016,SA-CAS-916414,Cybercrime,348,600873,Critical,Court Pending,Capitec,9,No,2021-11-06,2024-02-19,Officer Mabena,SA-ST-799
52,Sipho,Dlamini,Sipho Dlamini,42,Female,South Africa,Mpumalanga,0104237780052,SA-CAS-160899,Identity Theft,549,3770133,Medium,Court Pending,African Bank,10,Yes,2022-06-25,2024-05-14,Officer Naidoo,SA-ST-181
53,Naledi,Ndlovu,Naledi Ndlovu,49,Female,South Africa,Gauteng,0212183149116,SA-CAS-342188,Identity Theft,590,977920,Critical,Closed,Standard Bank,10,No,2018-07-31,2018-12-17,Officer Nkosi,SA-ST-706
54,Naledi,Ndlovu,Naledi Ndlovu,50,Female,South Africa,Western Cape,7606048300011,SA-CAS-305257,Fraud,322,2473153,Medium,Court Pending,Absa,9,Yes,2016-07-16,2025-10-10,Officer Smith,SA-ST-215
55,Nomsa,Pillay,Nomsa Pillay,28,Male,South Africa,Limpopo,6205128972186,SA-CAS-922155,Money Laundering,402,1854336,Low,Closed,Nedbank,7,Yes,2020-01-26,2015-08-25,Officer Smith,SA-ST-514
56,Lerato,Nkosi,Lerato Nkosi,34,Male,South Africa,Free State,7601191073031,SA-CAS-198833,Corruption,818,3181274,Medium,Court Pending,Capitec,9,Yes,2016-05-19,2020-10-04,Officer Mabena,SA-ST-530
57,Zanele,Nkosi,Zanele Nkosi,20,Female,South Africa,KwaZulu-Natal,6401177871169,SA-CAS-894557,Armed Robbery,543,149928,Critical,Convicted,Standard Bank,0,No,2023-08-23,2019-12-30,Officer Nkosi,SA-ST-139
58,Lerato,Pillay,Lerato Pillay,57,Female,South Africa,Mpumalanga,0010073791075,SA-CAS-658006,Drug Trafficking,746,4587152,High,Closed,FNB,10,Yes,2020-03-17,2019-08-18,Officer Smith,SA-ST-834
59,Thabo,Nkosi,Thabo Nkosi,61,Female,South Africa,North West,6307107642181,SA-CAS-982643,Fraud,319,4614159,Low,Closed,Absa,9,No,2018-09-02,2015-03-18,Officer Mabena,SA-ST-184
60,Tendai,Pillay,Tendai Pillay,36,Male,South Africa,Eastern Cape,8510239843061,SA-CAS-909187,Cybercrime,765,4639622,Critical,Closed,African Bank,9,Yes,2020-07-26,2024-11-24,Officer Nkosi,SA-ST-140
61,Ayanda,Zulu,Ayanda Zulu,44,Female,South Africa,Limpopo,0205094879033,SA-CAS-845149,Cybercrime,492,2036616,Critical,Court Pending,FNB,2,No,2021-04-25,2024-08-08,Officer Naidoo,SA-ST-621
62,Naledi,Mabaso,Naledi Mabaso,63,Female,South Africa,KwaZulu-Natal,8809107241126,SA-CAS-648176,Armed Robbery,321,1098054,High,Open,FNB,10,Yes,2022-12-24,2024-10-24,Officer Moyo,SA-ST-750
63,Ayanda,Mthembu,Ayanda Mthembu,26,Male,South Africa,Eastern Cape,6610278347150,SA-CAS-231261,Armed Robbery,568,1036919,Critical,Closed,Standard Bank,4,Yes,2020-01-03,2024-10-19,Officer Naidoo,SA-ST-474
64,Mpho,Mthembu,Mpho Mthembu,32,Female,South Africa,Western Cape,7504236299150,SA-CAS-976198,Cybercrime,416,781758,High,Closed,Absa,0,No,2016-06-02,2016-03-03,Officer Mabena,SA-ST-344
65,Naledi,Nkosi,Naledi Nkosi,30,Male,South Africa,KwaZulu-Natal,6308152526064,SA-CAS-748346,Fraud,811,2910197,Low,Convicted,Capitec,3,No,2020-06-06,2020-06-22,Officer Nkosi,SA-ST-244
66,Lerato,Dlamini,Lerato Dlamini,21,Male,South Africa,Gauteng,8712135794111,SA-CAS-455635,Cybercrime,690,888403,Low,Closed,Nedbank,0,Yes,2019-07-08,2019-08-19,Officer Smith,SA-ST-475
67,Nomsa,Mthembu,Nomsa Mthembu,24,Male,South Africa,Free State,7209054427119,SA-CAS-995174,Corruption,775,2852573,Low,Closed,Absa,2,No,2017-04-28,2015-10-27,Officer Naidoo,SA-ST-241
68,Zanele,Dlamini,Zanele Dlamini,63,Male,South Africa,Limpopo,7909174599043,SA-CAS-621116,Fraud,406,3812205,High,Closed,Nedbank,4,No,2017-06-29,2024-03-12,Officer Moyo,SA-ST-283
69,Zanele,Nkosi,Zanele Nkosi,31,Male,South Africa,Northern Cape,8002246026018,SA-CAS-264638,Corruption,716,2640182,Medium,Closed,Nedbank,1,Yes,2022-05-19,2016-07-19,Officer Nkosi,SA-ST-898
70,Sipho,Mthembu,Sipho Mthembu,44,Female,South Africa,Free State,9502115265090,SA-CAS-662113,Corruption,619,4016567,Medium,Closed,African Bank,5,No,2023-06-18,2024-03-04,Officer Nkosi,SA-ST-192
71,Thabo,Dlamini,Thabo Dlamini,25,Female,South Africa,Northern Cape,9106079322049,SA-CAS-116666,Fraud,383,1435993,Critical,Convicted,FNB,7,No,2022-11-17,2022-03-02,Officer Nkosi,SA-ST-152
72,Naledi,Ndlovu,Naledi Ndlovu,27,Male,South Africa,KwaZulu-Natal,9105013739195,SA-CAS-492072,Corruption,770,1496482,High,Open,FNB,2,No,2025-05-22,2015-01-28,Officer Nkosi,SA-ST-558
73,Naledi,Dlamini,Naledi Dlamini,31,Male,South Africa,Northern Cape,7502191676118,SA-CAS-155723,Armed Robbery,313,3516200,Critical,Under Investigation,African Bank,6,No,2018-02-14,2024-10-07,Officer Moyo,SA-ST-754
74,Nomsa,Dlamini,Nomsa Dlamini,23,Male,South Africa,Western Cape,9612278168014,SA-CAS-848677,Money Laundering,556,3160052,Medium,Convicted,Capitec,7,No,2018-10-17,2016-07-21,Officer Moyo,SA-ST-361
75,Sipho,Khumalo,Sipho Khumalo,38,Male,South Africa,Northern Cape,0303022462025,SA-CAS-264838,Corruption,469,2122026,Critical,Court Pending,African Bank,0,No,2015-06-05,2019-05-05,Officer Naidoo,SA-ST-552
76,Naledi,Zulu,Naledi Zulu,38,Male,South Africa,Free State,0412267612117,SA-CAS-938553,Vehicle Theft,303,137147,Medium,Court Pending,Capitec,9,Yes,2022-07-18,2025-11-14,Officer Nkosi,SA-ST-619
77,Zanele,Ndlovu,Zanele Ndlovu,49,Male,South Africa,Western Cape,0405074977154,SA-CAS-864385,Fraud,818,74024,Critical,Under Investigation,Absa,1,No,2024-02-22,2016-10-18,Officer Nkosi,SA-ST-716
78,Tendai,Naidoo,Tendai Naidoo,65,Male,South Africa,Northern Cape,9303029022168,SA-CAS-849941,Drug Trafficking,400,4555964,High,Convicted,Absa,0,No,2024-06-25,2025-11-26,Officer Nkosi,SA-ST-593
79,Tendai,Ndlovu,Tendai Ndlovu,63,Female,South Africa,Gauteng,9902178024046,SA-CAS-276355,Cybercrime,549,2826933,High,Under Investigation,African Bank,10,No,2025-08-22,2016-03-03,Officer Mabena,SA-ST-466
80,Sipho,Dlamini,Sipho Dlamini,25,Male,South Africa,Northern Cape,9010083935183,SA-CAS-771582,Vehicle Theft,719,2844648,Low,Open,Absa,10,Yes,2020-12-26,2019-10-07,Officer Nkosi,SA-ST-196
81,Sipho,Pillay,Sipho Pillay,56,Female,South Africa,Free State,9311202214031,SA-CAS-605118,Corruption,638,2205155,Critical,Court Pending,Nedbank,9,No,2016-06-25,2022-11-25,Officer Smith,SA-ST-539
82,Ayanda,Nkosi,Ayanda Nkosi,58,Male,South Africa,KwaZulu-Natal,9710174846149,SA-CAS-279655,Corruption,605,2630539,Critical,Convicted,African Bank,5,No,2020-07-18,2025-07-15,Officer Nkosi,SA-ST-393
83,Thabo,Nkosi,Thabo Nkosi,31,Male,South Africa,Free State,8404198125187,SA-CAS-513834,Fraud,712,840555,High,Convicted,Nedbank,5,No,2015-09-14,2020-09-01,Officer Smith,SA-ST-292
84,Lerato,Pillay,Lerato Pillay,62,Male,South Africa,Mpumalanga,8103245622061,SA-CAS-929467,Corruption,521,2005631,Critical,Convicted,African Bank,7,Yes,2018-10-04,2024-04-13,Officer Naidoo,SA-ST-977
85,Brian,Mabaso,Brian Mabaso,25,Male,South Africa,Northern Cape,9405226063045,SA-CAS-376109,Money Laundering,473,4736183,Low,Court Pending,FNB,6,No,2020-07-26,2019-06-16,Officer Nkosi,SA-ST-851
86,Lerato,Mokoena,Lerato Mokoena,27,Male,South Africa,Gauteng,8605021912044,SA-CAS-619047,Cybercrime,583,3815511,Low,Convicted,Standard Bank,8,No,2024-06-16,2017-03-18,Officer Mabena,SA-ST-708
87,Mpho,Naidoo,Mpho Naidoo,57,Male,South Africa,Gauteng,6309243682197,SA-CAS-344757,Money Laundering,430,1292011,Medium,Open,Absa,6,No,2025-06-19,2023-03-15,Officer Nkosi,SA-ST-447
88,Tendai,Mabaso,Tendai Mabaso,39,Male,South Africa,Gauteng,8605221932040,SA-CAS-866302,Vehicle Theft,425,2905287,Critical,Convicted,Capitec,3,No,2019-12-09,2018-12-11,Officer Mabena,SA-ST-906
89,Mpho,Khumalo,Mpho Khumalo,26,Female,South Africa,KwaZulu-Natal,7509154018012,SA-CAS-632006,Corruption,748,2144792,Medium,Closed,Standard Bank,9,No,2017-08-20,2025-04-28,Officer Naidoo,SA-ST-995
90,Zanele,Nkosi,Zanele Nkosi,27,Female,South Africa,Free State,6002227239138,SA-CAS-916933,Drug Trafficking,581,436626,High,Under Investigation,Standard Bank,7,No,2018-10-16,2018-09-13,Officer Nkosi,SA-ST-910
91,Naledi,Mabaso,Naledi Mabaso,50,Female,South Africa,Eastern Cape,7803081609091,SA-CAS-851129,Identity Theft,494,3204878,High,Convicted,African Bank,4,Yes,2024-09-23,2023-02-24,Officer Smith,SA-ST-541
92,Naledi,Nkosi,Naledi Nkosi,46,Female,South Africa,Limpopo,9906116836061,SA-CAS-167064,Identity Theft,452,678238,High,Court Pending,FNB,8,No,2015-09-27,2020-09-04,Officer Moyo,SA-ST-419
93,Nomsa,Ndlovu,Nomsa Ndlovu,23,Male,South Africa,Limpopo,6102141635162,SA-CAS-761155,Vehicle Theft,608,1394716,High,Open,Absa,2,Yes,2019-02-07,2023-08-09,Officer Naidoo,SA-ST-959
94,Lerato,Pillay,Lerato Pillay,48,Female,South Africa,Free State,8310049071090,SA-CAS-199122,Cybercrime,807,3853663,Medium,Closed,Standard Bank,0,No,2017-06-30,2020-11-27,Officer Moyo,SA-ST-573
95,Brian,Mthembu,Brian Mthembu,28,Female,South Africa,KwaZulu-Natal,8809011287091,SA-CAS-701980,Vehicle Theft,573,366883,Low,Closed,Nedbank,8,No,2024-04-08,2018-07-08,Officer Smith,SA-ST-563
96,Naledi,Ndlovu,Naledi Ndlovu,42,Female,South Africa,Northern Cape,7312153203044,SA-CAS-176549,Money Laundering,758,3412155,Low,Court Pending,Capitec,10,No,2022-08-08,2021-11-18,Officer Mabena,SA-ST-229
97,Sipho,Dlamini,Sipho Dlamini,25,Female,South Africa,Gauteng,6012048867017,SA-CAS-899591,Drug Trafficking,378,942437,Critical,Under Investigation,Standard Bank,0,Yes,2022-07-16,2016-06-06,Officer Smith,SA-ST-983
98,Naledi,Khumalo,Naledi Khumalo,34,Male,South Africa,KwaZulu-Natal,0412074256125,SA-CAS-650422,Drug Trafficking,472,1625221,Critical,Convicted,Standard Bank,9,No,2020-08-09,2021-02-22,Officer Moyo,SA-ST-347
99,Thabo,Mabaso,Thabo Mabaso,55,Male,South Africa,KwaZulu-Natal,8612193427023,SA-CAS-617894,Cybercrime,341,995473,Critical,Closed,Absa,5,No,2025-09-13,2022-12-14,Officer Naidoo,SA-ST-798
100,Tendai,Naidoo,Tendai Naidoo,30,Female,South Africa,Mpumalanga,8709152240083,SA-CAS-510200,Fraud,444,4509673,High,Court Pending,African Bank,7,Yes,2018-05-28,2020-07-06,Officer Nkosi,SA-ST-837
101,Brian,Pillay,Brian Pillay,26,Female,South Africa,Gauteng,7704246628079,SA-CAS-628677,Corruption,560,4855946,High,Under Investigation,Absa,2,Yes,2016-12-01,2016-03-10,Officer Nkosi,SA-ST-427
102,Sipho,Zulu,Sipho Zulu,19,Female,South Africa,Limpopo,6405262668114,SA-CAS-408726,Armed Robbery,659,897579,Critical,Open,Capitec,4,No,2022-07-18,2023-07-24,Officer Moyo,SA-ST-607
103,Ayanda,Pillay,Ayanda Pillay,36,Female,South Africa,KwaZulu-Natal,6309226948041,SA-CAS-784231,Drug Trafficking,473,797938,Low,Court Pending,African Bank,3,Yes,2025-09-30,2020-01-20,Officer Mabena,SA-ST-886
104,Zanele,Naidoo,Zanele Naidoo,35,Female,South Africa,Northern Cape,8204061924022,SA-CAS-731762,Vehicle Theft,581,4684761,Medium,Under Investigation,Absa,0,No,2017-02-21,2024-01-04,Officer Nkosi,SA-ST-448
105,Zanele,Mokoena,Zanele Mokoena,61,Male,South Africa,Mpumalanga,6011185754119,SA-CAS-160798,Corruption,507,2528237,Low,Court Pending,FNB,5,Yes,2020-02-15,2017-11-10,Officer Smith,SA-ST-187
106,Naledi,Zulu,Naledi Zulu,21,Female,South Africa,Eastern Cape,0507198358070,SA-CAS-678773,Drug Trafficking,545,3383804,Medium,Convicted,Absa,3,No,2016-08-25,2020-02-03,Officer Naidoo,SA-ST-437
107,Thabo,Pillay,Thabo Pillay,57,Female,South Africa,North West,6201234707120,SA-CAS-443171,Identity Theft,465,3412676,Medium,Convicted,African Bank,2,Yes,2015-10-25,2020-03-17,Officer Moyo,SA-ST-389
108,Ayanda,Dlamini,Ayanda Dlamini,64,Male,South Africa,North West,7302101397017,SA-CAS-907197,Fraud,326,2591355,Medium,Convicted,Nedbank,1,No,2017-10-30,2015-02-27,Officer Moyo,SA-ST-958
109,Ayanda,Ndlovu,Ayanda Ndlovu,55,Male,South Africa,Free State,9805032150034,SA-CAS-701793,Corruption,390,1165837,High,Court Pending,Standard Bank,1,Yes,2017-08-02,2017-12-14,Officer Mabena,SA-ST-780
110,Thabo,Mthembu,Thabo Mthembu,18,Female,South Africa,North West,9710274002184,SA-CAS-645693,Fraud,433,2529427,Medium,Convicted,FNB,6,No,2023-01-30,2019-10-06,Officer Nkosi,SA-ST-663
111,Naledi,Mabaso,Naledi Mabaso,19,Male,South Africa,Western Cape,7701086339041,SA-CAS-664931,Vehicle Theft,569,1707074,Critical,Closed,FNB,8,Yes,2024-01-15,2017-10-10,Officer Nkosi,SA-ST-413
112,Tendai,Naidoo,Tendai Naidoo,40,Female,South Africa,Limpopo,7208097729060,SA-CAS-844297,Armed Robbery,834,2091110,Critical,Convicted,Capitec,2,Yes,2016-10-04,2018-05-02,Officer Smith,SA-ST-272
113,Brian,Naidoo,Brian Naidoo,46,Male,South Africa,Mpumalanga,7507258269114,SA-CAS-763376,Cybercrime,511,4435890,High,Under Investigation,Nedbank,8,No,2023-04-21,2025-02-11,Officer Smith,SA-ST-122
114,Mpho,Mthembu,Mpho Mthembu,40,Male,South Africa,Western Cape,6303271436182,SA-CAS-406773,Armed Robbery,454,1633714,Critical,Under Investigation,Capitec,7,No,2025-01-25,2025-11-19,Officer Nkosi,SA-ST-498
115,Sipho,Nkosi,Sipho Nkosi,55,Female,South Africa,Gauteng,7202155223163,SA-CAS-318948,Cybercrime,673,54934,Low,Closed,FNB,7,Yes,2015-03-12,2021-01-12,Officer Nkosi,SA-ST-846
116,Ayanda,Dlamini,Ayanda Dlamini,64,Male,South Africa,KwaZulu-Natal,6605241862013,SA-CAS-182224,Vehicle Theft,787,2346351,Medium,Under Investigation,Nedbank,4,No,2016-08-01,2023-04-20,Officer Nkosi,SA-ST-851
117,Brian,Nkosi,Brian Nkosi,49,Male,South Africa,Northern Cape,8702053393088,SA-CAS-895946,Cybercrime,395,4610307,Medium,Under Investigation,FNB,8,No,2022-08-11,2020-05-11,Officer Mabena,SA-ST-937
